  Total time   Self time       Calls  Function
  ==========  ==========  ==========  ====================
  252.750 us  250.815 us           1  exit
  148.763 us    6.137 us          11  ext4_htree_free_dir_info
  113.044 us    0.389 us           1  iomap_dio_rw
  108.739 us    1.125 us           1  __iomap_dio_rw
   57.396 us    0.203 us           1  blk_io_schedule
   57.193 us    6.021 us           1  io_schedule_timeout
   51.172 us   51.172 us           1  linux:schedule
   33.911 us    0.790 us           2  iomap_iter
   33.037 us   33.037 us           1  __pfx_ext4_issue_zeroout
   11.702 us    0.938 us           1  iomap_dio_bio_iter
   11.259 us    6.636 us           6  jbd2_journal_free_transaction
    9.383 us    0.638 us           1  ext4_orphan_add
    5.908 us    5.908 us           1  bio_iov_iter_get_pages
    3.916 us    0.652 us           1  iomap_dio_complete
    3.642 us    0.194 us           1  blk_finish_plug
    3.448 us    3.448 us           1  __blk_flush_plug
    3.113 us    3.113 us           1  iomap_dio_submit_bio
    2.467 us    0.911 us           3  __pfx_jbd2_journal_free_reserved
    2.224 us    0.253 us           1  file_modified
    1.561 us    1.561 us           1  iomap_dio_alloc_bio.isra.0
    1.531 us    0.287 us           1  file_remove_privs_flags
    1.168 us    0.267 us           1  security_inode_need_killpriv
    0.822 us    0.822 us           1  cap_inode_need_killpriv
    0.806 us    0.806 us           4  __traceiter_jbd2_checkpoint_stats
    0.572 us    0.274 us           1  kiocb_invalidate_pages
    0.461 us    0.461 us           6  __cond_resched
    0.440 us    0.282 us           1  inode_needs_update_time
    0.406 us    0.329 us           1  kmem_cache_alloc_noprof
    0.377 us    0.259 us           1  ext4_dio_alignment
    0.323 us    0.211 us           1  generic_write_checks
    0.311 us    0.234 us           1  __kmalloc_cache_noprof
    0.298 us    0.298 us           1  jbd2_write_access_granted
    0.238 us    0.161 us           1  down_write
    0.189 us    0.189 us           1  __wake_up
    0.183 us    0.183 us           1  kmem_cache_free
    0.178 us    0.178 us           1  invalidate_inode_pages2_range
    0.166 us    0.166 us           2  _raw_spin_lock
    0.152 us    0.152 us           2  _raw_spin_unlock
    0.120 us    0.120 us           1  add_transaction_credits
    0.120 us    0.120 us           1  filemap_write_and_wait_range.part.0
    0.112 us    0.112 us           1  generic_write_check_limits
    0.098 us    0.098 us           1  kfree
    0.094 us    0.094 us           1  wake_up_var
    0.092 us    0.092 us           1  iomap_dio_zero
    0.090 us    0.090 us           1  fscrypt_set_bio_crypt_ctx
    0.089 us    0.089 us           1  kiocb_invalidate_post_direct_write
    0.084 us    0.084 us           1  __pfx_ext4_iomap_end
    0.083 us    0.083 us           1  up_write
    0.082 us    0.082 us           1  timestamp_truncate
    0.081 us    0.081 us           1  _raw_read_lock
    0.081 us    0.081 us           1  _raw_read_unlock
    0.080 us    0.080 us           1  blk_start_plug
    0.079 us    0.079 us           1  bpf_lsm_inode_need_killpriv
    0.076 us    0.076 us           1  is_bad_inode
    0.076 us    0.076 us           1  ktime_get_coarse_real_ts64
    0.076 us    0.076 us           1  setattr_should_drop_suidgid
