  Total time   Self time       Calls  Function
  ==========  ==========  ==========  ====================
    1.204 ms   13.845 us          51  ext4_htree_free_dir_info
    1.108 ms    0.373 us           1  iomap_dio_rw
    1.093 ms    1.154 us           1  __iomap_dio_rw
  999.525 us    0.246 us           1  blk_io_schedule
  999.279 us    0.218 us           1  io_schedule_timeout
  999.061 us    0.865 us           1  schedule_timeout
  996.669 us    2.369 us           1  schedule
  973.828 us  973.828 us           1  linux:schedule
  266.126 us  264.307 us           1  exit
   71.934 us    2.050 us           2  __pfx_ext4_issue_zeroout
   47.297 us    0.853 us           1  iomap_dio_bio_iter
   38.738 us    0.589 us           2  iomap_iter
   37.616 us    5.976 us           1  bio_iov_iter_get_pages
   26.742 us    0.247 us           1  pin_user_pages_fast
   26.495 us    0.661 us           1  gup_fast_fallback
   25.834 us    5.640 us           1  gup_fast_pte_range
   20.098 us    1.701 us           1  __pfx_ext4_mb_add_groupinfo
   19.121 us    8.991 us           5  ext4_mb_discard_group_preallocations
   17.426 us   10.046 us          32  try_grab_folio_fast
   14.882 us    0.671 us           1  iomap_dio_complete
   14.245 us    2.905 us           4  ext4_writepage_trans_blocks
    7.645 us    2.445 us           9  __pfx_jbd2_journal_free_reserved
    6.663 us    2.471 us          11  jbd2_journal_free_transaction
    6.447 us    0.482 us           1  finish_task_switch.isra.0
    5.886 us    1.299 us           1  __perf_event_task_sched_in
    5.701 us    0.370 us           1  dequeue_task_fair
    5.503 us    0.186 us           1  blk_finish_plug
    5.317 us    0.182 us           1  __blk_flush_plug
    5.179 us    0.781 us           1  dequeue_entities
    5.135 us    0.486 us           1  blk_mq_flush_plug_list
    5.081 us    0.204 us           1  iomap_dio_submit_bio
    5.047 us    0.701 us           2  ext4_orphan_add
    4.877 us    0.285 us           1  submit_bio
    4.493 us    0.857 us           1  nvme_queue_rqs
    4.447 us    0.402 us           1  submit_bio_noacct
    3.969 us    0.445 us           1  submit_bio_noacct_nocheck
    3.589 us    0.190 us           1  __pfx_ext4_map_query_blocks
    3.588 us    0.179 us           1  iomap_dio_alloc_bio.isra.0
    3.409 us    0.419 us           1  bio_alloc_bioset
    3.350 us    3.350 us          42  __rcu_read_lock
    3.342 us    0.200 us           1  __submit_bio
    3.265 us    0.750 us           1  nvme_prep_rq.part.0
    3.147 us    3.147 us          42  __rcu_read_unlock
    3.142 us    3.142 us           1  blk_mq_submit_bio
    3.108 us    3.108 us           5  dequeue_entity
    3.034 us    0.772 us           2  ext4_inode_csum_set
    2.956 us    0.260 us           1  file_modified
    2.685 us    2.298 us           8  kmem_cache_alloc_noprof
    2.568 us    2.568 us          32  mod_node_page_state
    2.453 us    2.453 us          32  __bio_add_page
    2.445 us    2.445 us          31  bvec_try_merge_page
    2.438 us    2.438 us          32  gup_fast_folio_allowed
    2.387 us    0.177 us           1  __mark_inode_dirty
    2.276 us    0.297 us           1  file_remove_privs_flags
    2.210 us    2.210 us           1  __pfx_ext4_update_disksize_before_punch
    2.164 us    2.164 us           1  perf_event_sched_in
    2.156 us    2.156 us          26  __cond_resched
    1.965 us    0.636 us           1  psi_task_switch
    1.899 us    0.248 us           1  security_inode_need_killpriv
    1.799 us    1.134 us           6  ext4_get_group_info
    1.736 us    0.959 us           3  __wake_up
    1.687 us    0.738 us           2  mempool_alloc_noprof
    1.573 us    0.165 us           1  cap_inode_need_killpriv
    1.462 us    1.046 us           1  __traceiter_sched_switch
    1.432 us    0.194 us           1  <ffffffffc0ad6934>
    1.408 us    0.284 us           1  __vfs_getxattr
    1.375 us    1.375 us           1  perf_iterate_sb.constprop.0
    1.290 us    1.290 us           1  dl_server_stop
    1.273 us    0.937 us           3  jbd2_write_access_granted
    1.242 us    0.859 us           5  psi_group_change
    1.238 us    0.478 us           1  __ext4_get_inode_loc
    1.184 us    0.424 us           1  bio_associate_blkg
    1.144 us    0.663 us           1  psi_account_irqtime
    1.041 us    1.041 us           1  ext4_mb_simple_scan_group
    1.039 us    0.312 us           1  pick_next_task_fair
    1.028 us    0.662 us           3  down_write
    0.982 us    0.543 us           1  put_prev_task_fair
    0.975 us    0.163 us           1  __pfx_ext4_get_acl
    0.868 us    0.868 us           8  _raw_spin_lock_irqsave
    0.864 us    0.864 us          10  record_times
    0.818 us    0.360 us           1  __timer_delete_sync
    0.813 us    0.488 us           1  ext4_mb_normalize_request.constprop.0
    0.812 us    0.396 us           1  <ffffffffc0b22564>
    0.753 us    0.753 us           1  ext4_mb_load_buddy_gfp
    0.724 us    0.155 us           1  __pfx___check_block_validity.constprop.0
    0.709 us    0.266 us           1  kiocb_invalidate_pages
    0.684 us    0.684 us           8  _raw_spin_unlock_irqrestore
    0.666 us    0.666 us           8  _raw_read_lock
    0.665 us    0.665 us           7  _raw_spin_lock
    0.662 us    0.192 us           1  __pfx_jbd2_journal_forget
    0.646 us    0.646 us           8  _raw_read_unlock
    0.643 us    0.398 us           1  sched_balance_newidle
    0.639 us    0.639 us           1  ext4_inode_csum
    0.632 us    0.281 us           1  update_rq_clock
    0.629 us    0.170 us           1  bvec_alloc
    0.617 us    0.155 us           1  mempool_alloc_slab
    0.614 us    0.260 us           1  dma_map_sgtable
    0.605 us    0.197 us           1  set_next_task_idle
    0.570 us    0.319 us           1  dma_pool_alloc
    0.553 us    0.351 us           2  lock_timer_base
    0.539 us    0.312 us           1  blk_mq_start_request
    0.527 us    0.368 us           1  bio_associate_blkg_from_css
    0.501 us    0.347 us           2  down_read
    0.496 us    0.496 us           4  __pfx_mousedev_exit
    0.485 us    0.485 us           5  kmem_cache_free
    0.470 us    0.308 us           1  __pfx_jbd2_journal_file_inode
    0.459 us    0.459 us           6  _raw_spin_unlock
    0.458 us    0.458 us           1  bdev_getblk
    0.446 us    0.283 us           1  ext4_mb_use_preallocated.constprop.0
    0.439 us    0.439 us           5  put_prev_entity
    0.438 us    0.438 us           5  __traceiter_jbd2_checkpoint_stats
    0.432 us    0.246 us           1  __dquot_alloc_space
    0.420 us    0.268 us           1  inode_needs_update_time
    0.418 us    0.342 us           2  __kmalloc_noprof
    0.408 us    0.254 us           1  __update_idle_core
    0.373 us    0.293 us           1  ext4_set_iomap
    0.354 us    0.354 us           1  __dma_map_sg_attrs
    0.354 us    0.354 us           1  ext4_mb_find_by_goal
    0.346 us    0.255 us           1  filemap_write_and_wait_range.part.0
    0.323 us    0.227 us           1  __pfx_ext4_mb_pa_put_free
    0.319 us    0.242 us           1  __kmalloc_cache_noprof
    0.317 us    0.317 us           3  kfree
    0.301 us    0.206 us           1  ext4_dio_alignment
    0.293 us    0.214 us           1  ext4_mb_initialize_context
    0.292 us    0.170 us           1  raw_spin_rq_lock_nested
    0.290 us    0.197 us           1  generic_write_checks
    0.282 us    0.282 us           1  __blk_rq_map_sg
    0.277 us    0.196 us           1  __pfx_ext4_meta_trans_blocks
    0.274 us    0.203 us           1  update_irq_load_avg
    0.272 us    0.272 us           2  ext4_mb_good_group
    0.267 us    0.267 us           3  add_transaction_credits
    0.267 us    0.175 us           1  from_kuid
    0.260 us    0.260 us           3  map_id_up
    0.257 us    0.166 us           1  from_kprojid
    0.255 us    0.255 us           1  mempool_kmalloc
    0.254 us    0.254 us           3  __wake_up_common
